City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Parabel',6,RU,1595951572,70,58.7,81.48,52.16,4.68
Kavaratti,92,IN,1595951572,76,10.57,72.64,82.94,18.59
Rock Sound,1,BS,1595951572,78,24.9,-76.2,82.38,13.0
Berlevåg,51,NO,1595951572,52,70.86,29.09,69.8,11.41
Kamaishi,100,JP,1595951573,92,39.27,141.88,66.76,6.55
Krasnosel'kup,97,RU,1595951573,74,65.7,82.47,56.25,13.6
Znamenka,0,RU,1595951573,57,52.42,41.43,74.19,5.46
Morón,0,AR,1595951539,45,-34.65,-58.62,52.0,11.41
Severodvinsk,20,RU,1595951573,53,64.56,39.83,71.6,4.47
Hambantota,40,LK,1595951573,94,6.12,81.12,80.6,3.36
Greenwood,1,US,1595951574,66,34.17,-82.12,90.0,6.93
Praia,40,CV,1595951574,70,14.92,-23.51,84.2,13.87
Manicoré,0,BR,1595951574,31,-5.81,-61.3,95.34,4.43
Gryazi,0,RU,1595951574,30,52.5,39.94,82.4,8.95
Hailar,94,CN,1595951574,87,49.2,119.7,66.0,9.35
Polewali,91,ID,1595951574,81,-3.43,119.34,75.11,5.95
Irpa Irpa,0,BO,1595951574,22,-17.72,-66.27,68.0,4.7
‘Āhuimanu,40,US,1595951574,78,21.44,-157.84,78.8,11.41
Caravelas,40,BR,1595951574,76,-17.71,-39.25,75.67,7.2
Dengzhou,0,CN,1595951575,85,37.81,120.75,72.73,6.2
Vardø,90,NO,1595951575,100,70.37,31.11,53.6,9.17
Nizwá,34,OM,1595951575,51,22.93,57.53,88.39,2.19
Ust'-Ilimsk,99,RU,1595951560,74,58.0,102.66,59.68,2.1
Yatsuomachi-higashikumisaka,100,JP,1595951575,96,36.57,137.13,75.0,1.99
Pyrzyce,55,PL,1595951576,41,53.15,14.89,82.99,13.87
Nokaneng,0,BW,1595951576,25,-19.67,22.27,67.84,4.36
Dwārka,100,IN,1595951576,77,22.24,68.97,85.48,19.24
Slave Lake,1,CA,1595951576,82,55.28,-114.77,68.0,8.05
Broome,90,US,1595951496,73,42.25,-75.83,75.99,6.93
Iqaluit,75,CA,1595951576,55,63.75,-68.51,64.4,10.29
Morondava,100,MG,1595951577,56,-20.28,44.28,73.09,8.21
Camopi,0,GF,1595951577,48,3.17,-52.32,90.73,5.14
Tahe,4,CN,1595951577,76,52.33,124.73,66.92,2.64
Taoudenni,36,ML,1595951577,17,22.68,-3.98,108.3,14.05
Puerto Palomas,1,MX,1595951577,39,31.77,-107.62,82.4,10.29
Reni,0,UA,1595951577,21,45.46,28.29,91.0,12.75
Bogale,69,MM,1595951577,83,16.28,95.4,82.33,5.06
Zhangaözen,0,KZ,1595951577,14,43.3,52.8,85.41,11.52
Cabo Rojo,27,PR,1595951578,69,18.09,-67.15,91.0,3.0
Buala,100,SB,1595951578,79,-8.14,159.59,81.54,5.95
Pozo Colorado,100,PY,1595951578,74,-23.49,-58.8,61.57,10.83
Kaseda-shirakame,62,JP,1595951578,100,31.42,130.32,75.0,1.99
Merauke,100,ID,1595951578,86,-8.47,140.33,77.13,16.67
Muhos,83,FI,1595951578,50,64.81,25.99,75.99,6.93
Petropavlovsk-Kamchatskiy,97,RU,1595951578,100,53.05,158.65,55.4,4.47
Teknāf,100,BD,1595951578,83,20.86,92.31,82.6,5.53
Coquimbo,0,CL,1595951578,72,-29.95,-71.34,59.0,9.17
Tiznit Province,1,MA,1595951579,28,29.58,-9.5,92.16,9.31
Dalton,1,US,1595951420,58,34.77,-84.97,87.01,2.93
Antofagasta,20,CL,1595951535,67,-23.65,-70.4,57.2,2.24
Yarmouth,1,US,1595951579,55,41.71,-70.23,91.4,12.75
Bucerías,75,MX,1595951579,83,20.75,-105.33,80.6,3.36
Hoquiam,90,US,1595951579,87,46.98,-123.89,57.99,11.41
Utrān,75,IN,1595951579,83,21.23,72.87,84.2,10.29
Mehamn,29,NO,1595951579,56,71.04,27.85,69.8,5.82
Karligan,100,PH,1595951580,79,14.97,122.05,80.28,1.59
Asău,34,RO,1595951580,70,46.43,26.4,78.01,0.85
Kon Tum,80,VN,1595951580,91,14.35,108.0,71.67,1.45
Assiut,0,EG,1595951580,28,27.18,31.18,96.8,12.75
Kishtwār,4,IN,1595951580,72,33.32,75.77,67.68,0.72
Champasak,22,LA,1595951580,84,14.75,106.0,76.51,1.7
Nanlong,54,CN,1595951581,84,31.35,106.06,78.49,2.51
Fort Myers Beach,27,US,1595951581,75,26.45,-81.95,89.01,1.99
Balabac,97,PH,1595951581,75,7.99,117.06,83.07,6.69
Kasongo-Lunda,0,CD,1595951581,18,-6.47,16.82,92.61,2.51
Solnechnyy,9,RU,1595951581,88,50.72,136.63,66.56,3.51
Omboué,12,GA,1595951581,70,-1.57,9.26,77.72,12.48
Sampit,57,ID,1595951581,93,-2.53,112.95,73.38,2.77
Nālūt,0,LY,1595951582,13,30.33,10.85,97.57,11.01
Ziro,97,IN,1595951582,100,27.63,93.83,59.86,1.03
Skibbereen,75,IE,1595951582,55,51.55,-9.27,62.6,12.75
Hurghada,10,EG,1595951434,46,27.26,33.81,89.62,4.36
Moree,90,AU,1595951582,93,-29.47,149.85,51.8,3.76
Planadas,75,CO,1595951582,51,3.2,-75.65,84.2,3.36
West Wendover,1,US,1595951582,43,40.74,-114.07,73.4,5.82
Chu,51,KZ,1595951583,34,43.6,73.76,81.45,12.71
Iroquois Falls,75,CA,1595951583,68,48.77,-80.68,69.8,5.82
San Policarpo,100,PH,1595951583,90,12.18,125.51,77.13,5.5
Leh,3,IN,1595951583,24,34.17,77.58,68.2,7.34
Velikiy Ustyug,75,RU,1595951583,81,60.76,46.31,68.23,1.16
Ubari,0,LY,1595951583,12,26.59,12.78,98.22,12.3
Piaçabuçu,37,BR,1595951583,81,-10.41,-36.43,76.86,14.67
Karasjok,57,NO,1595951583,41,69.47,25.51,75.2,12.75
Marmaris,0,TR,1595951583,58,36.85,28.27,90.0,8.05
Storslett,75,NO,1595951584,44,69.77,21.02,75.2,19.46
Charters Towers,0,AU,1595951584,46,-20.1,146.27,50.9,6.82
Kousséri,20,CM,1595951584,55,12.08,15.03,91.4,11.41
Sobolevo,12,RU,1595951584,81,54.43,31.9,74.61,5.66
Tula,11,RU,1595951575,64,54.2,37.61,74.3,6.4
Ust-Nera,35,RU,1595951584,67,64.57,143.2,54.93,6.8
Lingao,24,CN,1595951584,74,19.91,109.69,84.92,2.24
Palmerston North,100,NZ,1595951585,96,-40.35,175.62,46.0,0.89
Guangyuan,99,CN,1595951585,90,32.44,105.82,77.0,0.36
Buchanan,75,LR,1595951585,78,5.88,-10.05,80.6,9.17
Marataizes,0,BR,1595951585,57,-21.04,-40.82,77.56,11.01
Road Town,40,VG,1595951352,70,18.42,-64.62,89.6,13.87
Palmer,75,US,1595951585,52,42.16,-72.33,90.0,14.99
Aykhal,90,RU,1595951585,71,66.0,111.5,51.8,6.71
Viesca,75,MX,1595951585,94,25.35,-102.8,73.0,13.6
Bubaque,100,GW,1595951585,91,11.28,-15.83,77.32,15.43
Zile,40,TR,1595951585,42,40.3,35.89,80.6,18.34
Laas,43,IT,1595951586,41,46.62,10.7,93.2,10.29
Puerto Rondón,64,CO,1595951586,74,6.28,-71.1,85.26,1.59
Kruisfontein,0,ZA,1595951586,74,-34.0,24.73,63.0,6.29
Ordynskoye,31,RU,1595951586,87,54.37,81.9,58.12,5.64
Cranbrook,20,CA,1595951586,43,49.5,-115.77,69.8,2.86
Cabedelo,40,BR,1595951343,69,-6.98,-34.83,80.6,11.41
Kargil,60,IN,1595951587,35,34.57,76.1,65.01,7.23
Osakarovka,94,KZ,1595951587,77,50.56,72.57,60.13,8.52
Den Helder,20,NL,1595951569,55,52.96,4.76,64.4,21.92
Bara,10,NG,1595951587,52,10.37,10.73,88.41,4.14
Vila Velha,20,BR,1595951587,57,-20.33,-40.29,80.6,13.87
Nome,90,US,1595951587,93,64.5,-165.41,50.0,18.34
San Jose,75,US,1595951455,77,37.34,-121.89,66.0,3.09
Mitzic,66,GA,1595951587,79,0.78,11.55,76.32,3.78
Rawson,0,AR,1595951588,57,-43.3,-65.1,45.7,10.29
Port-Gentil,40,GA,1595951588,74,-0.72,8.78,80.6,15.97
Guiren,28,CN,1595951588,59,33.67,118.19,72.0,5.77
Darhan,24,MN,1595951588,70,49.49,105.92,62.89,2.53
Brae,75,GB,1595951588,87,60.4,-1.35,60.8,4.7
Te Anau,100,NZ,1595951588,90,-45.42,167.72,40.87,2.3
Sosnovo-Ozerskoye,92,RU,1595951589,96,52.52,111.54,58.57,6.67
Santander,90,ES,1595951589,100,43.46,-3.8,68.0,5.82
Yabēlo,100,ET,1595951589,73,4.88,38.08,62.67,12.15
Miquelon,75,PM,1595951589,88,47.1,-56.38,62.6,5.82
Trujillo,15,PE,1595951589,66,-8.12,-79.03,65.91,8.43
Ahome,90,MX,1595951589,83,25.92,-109.18,79.0,14.99
Praia da Vitória,20,PT,1595951589,62,38.73,-27.07,84.2,11.41
Cabcab,100,PH,1595951590,79,13.63,124.05,80.55,5.48
Nabire,83,ID,1595951590,90,-3.37,135.48,75.47,3.83
Barranca,32,PE,1595951590,66,-10.75,-77.77,65.25,8.28
Lethem,58,GY,1595951590,53,3.38,-59.8,89.46,5.14
Djambala,9,CG,1595951591,34,-2.54,14.75,86.63,5.99
Kolokani,92,ML,1595951591,68,13.57,-8.03,82.99,7.74
Belle Fourche,1,US,1595951591,53,44.67,-103.85,75.99,10.29
Pemangkat,99,ID,1595951591,79,1.17,108.97,79.05,3.09
Ingham,40,US,1595951591,54,42.6,-84.38,81.0,4.7
Sibolga,100,ID,1595951591,89,1.74,98.78,73.96,8.41
Loukhi,50,RU,1595951591,50,66.08,33.04,70.81,4.03
Nantucket,1,US,1595951306,78,41.28,-70.1,81.0,14.99
Mackenzie,70,CA,1595951591,47,55.3,-123.17,66.61,2.93
Ifanadiana,100,MG,1595951592,89,-21.3,47.63,59.45,1.19
Albertville,40,US,1595951592,55,34.27,-86.21,86.0,3.36
Sakakah,40,SA,1595951592,8,29.97,40.21,114.8,6.93
Pringsewu,87,ID,1595951592,92,-5.36,104.97,72.66,3.38
Mayor Pablo Lagerenza,34,PY,1595951592,49,-19.93,-60.77,70.86,15.32
Porgera,66,PG,1595951592,100,-5.47,143.2,37.44,0.67
Nidadavole,40,IN,1595951593,69,16.92,81.67,82.4,4.7
Amazar,89,RU,1595951593,89,53.86,120.88,66.09,2.86
Naberera,75,TZ,1595951593,56,-4.2,36.93,66.42,11.61
Alora,0,ES,1595951593,69,36.82,-4.71,96.01,14.99
Flin Flon,5,CA,1595951593,72,54.77,-101.86,64.4,4.7
Purpe,93,RU,1595951593,90,64.48,76.69,53.01,11.9
Svetlaya,84,RU,1595951593,91,46.54,138.33,63.45,4.92
Okitipupa,88,NG,1595951593,72,6.5,4.78,80.22,8.86
High Prairie,89,CA,1595951594,89,55.43,-116.49,68.02,8.84
Ampanihy,18,MG,1595951594,80,-24.7,44.75,63.61,13.71
Ahvāz,40,IR,1595951594,34,31.32,48.67,107.6,4.7
Bereda,67,ES,1595951594,72,43.27,-7.54,70.0,11.01
Todos Santos,98,MX,1595951594,81,23.45,-110.22,75.0,5.01
Omsukchan,100,RU,1595951594,73,62.53,155.8,60.69,6.29
Portmore,20,JM,1595951366,58,17.97,-76.87,87.8,5.82
Pombal,0,BR,1595951407,21,-6.77,-37.8,92.41,10.45
Hokitika,100,NZ,1595951595,79,-42.72,170.97,50.05,6.15
Chazuta,40,PE,1595951595,66,-6.57,-76.14,84.2,3.36
Mae Sai,20,TH,1595951595,94,20.43,99.88,79.0,5.82
